ip,latitude,longitude,device_type,model,location_label,last_seen,port,org,country,region,poc_batch
10.0.10.171,18.705038,72.9682,PTZ Camera,Hanwha XNV-8080R,Mumbai Sector 11,2026-02-19,8080,DigitalOcean,IN,Asia,GLOBAL_500_V4
10.0.10.172,1.715471,103.910721,IP Camera,Bosch FLEXIDOME,Singapore Sector 12,2026-02-25,554,DigitalOcean,SG,Asia,GLOBAL_500_V4
10.0.10.173,36.004386,140.074796,IP Camera,Hikvision DS-2CD2085G1,Tokyo Sector 13,2026-02-11,80,Lumen,JP,Asia,GLOBAL_500_V4
10.0.10.174,37.291072,127.346271,IP Camera,Axis P5655-E,Seoul Sector 14,2026-01-03,8080,Lumen,KR,Asia,GLOBAL_500_V4
10.0.10.175,13.536629,100.183679,IP Camera,Bosch FLEXIDOME,Bangkok Sector 15,2025-11-02,8080,DigitalOcean,TH,Asia,GLOBAL_500_V4
10.0.10.176,-5.847054,106.398625,Bullet Camera,Hanwha XNV-8080R,Jakarta Sector 16,2025-10-06,554,DigitalOcean,ID,Asia,GLOBAL_500_V4
10.0.11.177,-33.885792,151.234191,Dome Camera,Axis P5655-E,Sydney Sector 17,2025-10-31,554,Verizon,AU,Oceania,GLOBAL_500_V4
10.0.11.178,-38.051015,144.997179,Dome Camera,Hikvision DS-2CD2085G1,Melbourne Sector 18,2025-09-04,80,Verizon,AU,Oceania,GLOBAL_500_V4
10.0.11.179,-37.067423,174.932535,Dome Camera,Axis P5655-E,Auckland Sector 19,2025-04-15,554,Verizon,NZ,Oceania,GLOBAL_500_V4
10.0.11.180,-32.103346,115.493756,Bullet Camera,Hikvision DS-2CD2085G1,Perth Sector 20,2025-04-25,554,Comcast,AU,Oceania,GLOBAL_500_V4
10.0.11.181,39.232724,-76.639024,IP Camera,Sony SNC-EP580,Washington Sector 1,2026-01-23,80,DigitalOcean,US,North America,GLOBAL_500_V4
10.0.11.182,40.353102,-74.019775,Bullet Camera,Dahua SD49425XB,New York Sector 2,2026-02-13,554,Comcast,US,North America,GLOBAL_500_V4
10.0.11.183,19.828339,-98.989,Dome Camera,Sony SNC-EP580,Mexico City Sector 3,2026-01-19,80,Airtel,MX,North America,GLOBAL_500_V4
10.0.11.184,43.285049,-79.599052,IP Camera,Hanwha XNV-8080R,Toronto Sector 4,2026-03-02,8080,Lumen,CA,North America,GLOBAL_500_V4
10.0.11.185,4.462106,-73.85166,Dome Camera,Hikvision DS-2CD2085G1,Bogota Sector 5,2025-11-10,8080,BT,CO,South America,GLOBAL_500_V4
10.0.11.186,-11.791441,-77.088598,Dome Camera,Hanwha XNV-8080R,Lima Sector 6,2025-12-10,8080,Verizon,PE,South America,GLOBAL_500_V4
10.0.11.187,-23.625945,-47.002353,PTZ Camera,Hikvision DS-2CD2085G1,Sao Paulo Sector 7,2025-11-14,554,Verizon,BR,South America,GLOBAL_500_V4
10.0.11.188,-34.444834,-57.940127,Dome Camera,Axis P5655-E,Buenos Aires Sector 8,2025-06-22,443,Cloudflare,AR,South America,GLOBAL_500_V4
10.0.11.189,51.704574,0.155605,Dome Camera,Axis P5655-E,London Sector 9,2025-05-09,443,Verizon,GB,Europe,GLOBAL_500_V4
10.0.11.190,48.542196,2.40865,PTZ Camera,Hanwha XNV-8080R,Paris Sector 10,2025-05-01,80,Verizon,FR,Europe,GLOBAL_500_V4
10.0.11.191,52.122028,13.571132,PTZ Camera,Hanwha XNV-8080R,Berlin Sector 11,2026-02-22,443,DigitalOcean,DE,Europe,GLOBAL_500_V4
10.0.11.192,40.124599,-3.750489,Dome Camera,Dahua SD49425XB,Madrid Sector 12,2026-01-27,554,Airtel,ES,Europe,GLOBAL_500_V4
10.0.12.193,41.538067,12.169098,Bullet Camera,Dahua SD49425XB,Rome Sector 13,2026-01-19,554,Verizon,IT,Europe,GLOBAL_500_V4
10.0.12.194,51.851147,20.780269,IP Camera,Bosch FLEXIDOME,Warsaw Sector 14,2026-02-20,80,Verizon,PL,Europe,GLOBAL_500_V4
10.0.12.195,30.148742,31.113199,IP Camera,Sony SNC-EP580,Cairo Sector 15,2025-11-20,554,Cloudflare,EG,Africa,GLOBAL_500_V4
10.0.12.196,6.170548,3.49104,Bullet Camera,Hanwha XNV-8080R,Lagos Sector 16,2025-11-17,8080,AT&T,NG,Africa,GLOBAL_500_V4
10.0.12.197,-1.255364,36.393097,Dome Camera,Hanwha XNV-8080R,Nairobi Sector 17,2025-09-29,443,DigitalOcean,KE,Africa,GLOBAL_500_V4
10.0.12.198,-25.81926,28.351318,PTZ Camera,Dahua SD49425XB,Johannesburg Sector 18,2025-05-01,80,AT&T,ZA,Africa,GLOBAL_500_V4
10.0.12.199,33.203217,-7.269778,IP Camera,Hikvision DS-2CD2085G1,Casablanca Sector 19,2025-09-06,80,Cloudflare,MA,Africa,GLOBAL_500_V4
10.0.12.200,5.961185,0.200667,PTZ Camera,Dahua SD49425XB,Accra Sector 20,2025-04-14,554,BT,GH,Africa,GLOBAL_500_V4
10.0.12.201,25.453341,55.505618,Dome Camera,Dahua SD49425XB,Dubai Sector 1,2025-12-28,8080,BT,AE,Middle East,GLOBAL_500_V4
10.0.12.202,24.927025,47.067803,PTZ Camera,Hikvision DS-2CD2085G1,Riyadh Sector 2,2026-03-12,554,BT,SA,Middle East,GLOBAL_500_V4
10.0.12.203,32.090195,34.743455,Bullet Camera,Hanwha XNV-8080R,Tel Aviv Sector 3,2026-01-17,554,Verizon,IL,Middle East,GLOBAL_500_V4
10.0.12.204,24.941778,51.161139,Dome Camera,Sony SNC-EP580,Doha Sector 4,2026-02-24,443,Verizon,QA,Middle East,GLOBAL_500_V4
10.0.12.205,41.382504,29.114168,Bullet Camera,Sony SNC-EP580,Istanbul Sector 5,2025-11-21,80,Comcast,TR,Middle East,GLOBAL_500_V4
10.0.12.206,28.289496,77.572935,Dome Camera,Hanwha XNV-8080R,Delhi Sector 6,2025-10-16,80,AT&T,IN,Asia,GLOBAL_500_V4
10.0.12.207,19.305098,72.517944,PTZ Camera,Axis P5655-E,Mumbai Sector 7,2025-12-09,8080,AT&T,IN,Asia,GLOBAL_500_V4
10.0.12.208,1.615764,104.269186,PTZ Camera,Hikvision DS-2CD2085G1,Singapore Sector 8,2025-07-23,8080,Cloudflare,SG,Asia,GLOBAL_500_V4
10.0.13.209,35.345083,139.819482,PTZ Camera,Dahua SD49425XB,Tokyo Sector 9,2025-05-20,443,Cloudflare,JP,Asia,GLOBAL_500_V4
10.0.13.210,37.224675,126.782127,Dome Camera,Axis P5655-E,Seoul Sector 10,2025-06-25,8080,Comcast,KR,Asia,GLOBAL_500_V4
10.0.13.211,13.985144,100.083311,Bullet Camera,Hanwha XNV-8080R,Bangkok Sector 11,2025-12-28,80,Verizon,TH,Asia,GLOBAL_500_V4
10.0.13.212,-6.467454,107.240111,PTZ Camera,Sony SNC-EP580,Jakarta Sector 12,2025-12-27,80,Comcast,ID,Asia,GLOBAL_500_V4
10.0.13.213,-33.941269,151.0902,IP Camera,Hikvision DS-2CD2085G1,Sydney Sector 13,2026-02-03,443,Lumen,AU,Oceania,GLOBAL_500_V4
10.0.13.214,-37.596023,145.383602,Dome Camera,Hanwha XNV-8080R,Melbourne Sector 14,2026-01-31,554,Lumen,AU,Oceania,GLOBAL_500_V4
10.0.13.215,-37.085466,174.560493,PTZ Camera,Axis P5655-E,Auckland Sector 15,2025-10-06,80,Cloudflare,NZ,Oceania,GLOBAL_500_V4
10.0.13.216,-31.999756,116.136432,Bullet Camera,Dahua SD49425XB,Perth Sector 16,2025-09-30,8080,Lumen,AU,Oceania,GLOBAL_500_V4
10.0.13.217,38.948583,-76.856384,PTZ Camera,Hanwha XNV-8080R,Washington Sector 17,2025-11-29,443,BT,US,North America,GLOBAL_500_V4
10.0.13.218,40.269246,-74.080449,PTZ Camera,Hikvision DS-2CD2085G1,New York Sector 18,2025-04-14,554,Cloudflare,US,North America,GLOBAL_500_V4
10.0.13.219,19.405601,-99.05616,Bullet Camera,Hanwha XNV-8080R,Mexico City Sector 19,2025-09-05,8080,AT&T,MX,North America,GLOBAL_500_V4
10.0.13.220,43.957774,-79.745949,PTZ Camera,Dahua SD49425XB,Toronto Sector 20,2025-05-28,80,Airtel,CA,North America,GLOBAL_500_V4
10.0.13.221,4.48318,-74.508377,Bullet Camera,Bosch FLEXIDOME,Bogota Sector 1,2026-02-03,554,DigitalOcean,CO,South America,GLOBAL_500_V4
10.0.13.222,-12.143675,-76.609982,Bullet Camera,Bosch FLEXIDOME,Lima Sector 2,2026-01-21,443,Cloudflare,PE,South America,GLOBAL_500_V4
10.0.13.223,-23.719792,-46.765342,IP Camera,Bosch FLEXIDOME,Sao Paulo Sector 3,2026-03-08,554,Airtel,BR,South America,GLOBAL_500_V4
10.0.13.224,-34.720977,-58.540605,PTZ Camera,Bosch FLEXIDOME,Buenos Aires Sector 4,2026-02-20,443,DigitalOcean,AR,South America,GLOBAL_500_V4
10.0.14.225,51.486104,-0.126829,PTZ Camera,Bosch FLEXIDOME,London Sector 5,2025-12-05,443,Comcast,GB,Europe,GLOBAL_500_V4
10.0.14.226,48.636821,2.79221,Bullet Camera,Hanwha XNV-8080R,Paris Sector 6,2025-12-06,80,BT,FR,Europe,GLOBAL_500_V4
10.0.14.227,52.586291,13.01297,PTZ Camera,Axis P5655-E,Berlin Sector 7,2025-10-01,443,AT&T,DE,Europe,GLOBAL_500_V4
10.0.14.228,40.068529,-3.327842,Bullet Camera,Hanwha XNV-8080R,Madrid Sector 8,2025-05-03,80,BT,ES,Europe,GLOBAL_500_V4
10.0.14.229,42.230288,12.531581,Bullet Camera,Hanwha XNV-8080R,Rome Sector 9,2025-08-08,80,Verizon,IT,Europe,GLOBAL_500_V4
10.0.14.230,52.516154,20.890122,Dome Camera,Bosch FLEXIDOME,Warsaw Sector 10,2025-05-29,443,AT&T,PL,Europe,GLOBAL_500_V4
10.0.14.231,29.908997,31.193294,Dome Camera,Hanwha XNV-8080R,Cairo Sector 11,2026-02-14,443,Lumen,EG,Africa,GLOBAL_500_V4
10.0.14.232,6.225392,3.068039,PTZ Camera,Bosch FLEXIDOME,Lagos Sector 12,2026-01-01,554,BT,NG,Africa,GLOBAL_500_V4
10.0.14.233,-1.110932,36.891592,IP Camera,Bosch FLEXIDOME,Nairobi Sector 13,2025-12-26,554,Verizon,KE,Africa,GLOBAL_500_V4
10.0.14.234,-25.802267,28.395471,Dome Camera,Axis P5655-E,Johannesburg Sector 14,2026-02-23,554,Comcast,ZA,Africa,GLOBAL_500_V4
10.0.14.235,33.994218,-7.85506,Dome Camera,Axis P5655-E,Casablanca Sector 15,2025-10-31,80,BT,MA,Africa,GLOBAL_500_V4
10.0.14.236,5.554283,0.137946,Bullet Camera,Axis P5655-E,Accra Sector 16,2025-11-08,443,Lumen,GH,Africa,GLOBAL_500_V4
10.0.14.237,25.238926,55.347969,Bullet Camera,Axis P5655-E,Dubai Sector 17,2025-11-03,80,Lumen,AE,Middle East,GLOBAL_500_V4
10.0.14.238,24.825666,47.090399,Dome Camera,Dahua SD49425XB,Riyadh Sector 18,2025-06-28,554,Airtel,SA,Middle East,GLOBAL_500_V4
10.0.14.239,32.179511,34.594125,PTZ Camera,Sony SNC-EP580,Tel Aviv Sector 19,2025-08-26,80,Cloudflare,IL,Middle East,GLOBAL_500_V4
10.0.14.240,25.7171,51.432603,Dome Camera,Hanwha XNV-8080R,Doha Sector 20,2025-06-30,443,Airtel,QA,Middle East,GLOBAL_500_V4
10.0.15.241,41.082109,28.626168,Dome Camera,Bosch FLEXIDOME,Istanbul Sector 1,2026-02-17,80,Verizon,TR,Middle East,GLOBAL_500_V4
10.0.15.242,28.707147,77.48731,IP Camera,Axis P5655-E,Delhi Sector 2,2026-02-04,554,Comcast,IN,Asia,GLOBAL_500_V4
10.0.15.243,19.061783,73.270963,PTZ Camera,Dahua SD49425XB,Mumbai Sector 3,2026-01-22,554,Lumen,IN,Asia,GLOBAL_500_V4
10.0.15.244,1.406662,104.133385,PTZ Camera,Axis P5655-E,Singapore Sector 4,2026-02-07,8080,Comcast,SG,Asia,GLOBAL_500_V4
10.0.15.245,36.083058,139.978546,Dome Camera,Bosch FLEXIDOME,Tokyo Sector 5,2025-11-14,443,BT,JP,Asia,GLOBAL_500_V4
10.0.15.246,37.702834,127.298529,Bullet Camera,Hikvision DS-2CD2085G1,Seoul Sector 6,2025-10-27,8080,DigitalOcean,KR,Asia,GLOBAL_500_V4
10.0.15.247,13.737349,100.640702,Dome Camera,Sony SNC-EP580,Bangkok Sector 7,2025-10-22,554,Airtel,TH,Asia,GLOBAL_500_V4
10.0.15.248,-6.344232,106.593752,Bullet Camera,Sony SNC-EP580,Jakarta Sector 8,2025-03-29,443,Verizon,ID,Asia,GLOBAL_500_V4
10.0.15.249,-34.140142,151.174443,PTZ Camera,Hikvision DS-2CD2085G1,Sydney Sector 9,2025-07-15,554,Lumen,AU,Oceania,GLOBAL_500_V4
10.0.15.250,-38.141404,145.35212,IP Camera,Axis P5655-E,Melbourne Sector 10,2025-07-11,8080,Verizon,AU,Oceania,GLOBAL_500_V4
10.0.15.251,-36.474562,174.401642,Bullet Camera,Axis P5655-E,Auckland Sector 11,2026-02-16,8080,Airtel,NZ,Oceania,GLOBAL_500_V4
10.0.15.252,-31.916708,115.432363,Bullet Camera,Hanwha XNV-8080R,Perth Sector 12,2026-02-14,554,Airtel,AU,Oceania,GLOBAL_500_V4
10.0.15.253,38.613827,-76.734576,Bullet Camera,Hikvision DS-2CD2085G1,Washington Sector 13,2025-12-31,554,BT,US,North America,GLOBAL_500_V4
10.0.15.254,41.092225,-73.708362,Dome Camera,Hanwha XNV-8080R,New York Sector 14,2026-02-06,554,Cloudflare,US,North America,GLOBAL_500_V4
10.0.15.1,18.986699,-99.516572,Bullet Camera,Dahua SD49425XB,Mexico City Sector 15,2025-11-01,8080,Airtel,MX,North America,GLOBAL_500_V4
10.0.15.2,43.21546,-79.718058,Dome Camera,Bosch FLEXIDOME,Toronto Sector 16,2025-10-25,443,Verizon,CA,North America,GLOBAL_500_V4
10.1.16.3,5.013843,-74.217245,Bullet Camera,Hikvision DS-2CD2085G1,Bogota Sector 17,2025-12-03,554,Lumen,CO,South America,GLOBAL_500_V4
10.1.16.4,-12.093897,-77.157215,PTZ Camera,Dahua SD49425XB,Lima Sector 18,2025-07-18,443,Airtel,PE,South America,GLOBAL_500_V4
10.1.16.5,-23.139505,-46.520249,Dome Camera,Hikvision DS-2CD2085G1,Sao Paulo Sector 19,2025-05-28,8080,Airtel,BR,South America,GLOBAL_500_V4
10.1.16.6,-34.273229,-58.566147,Bullet Camera,Bosch FLEXIDOME,Buenos Aires Sector 20,2025-05-07,443,Verizon,AR,South America,GLOBAL_500_V4
10.1.16.7,51.681402,0.119801,Bullet Camera,Dahua SD49425XB,London Sector 1,2026-01-27,8080,Verizon,GB,Europe,GLOBAL_500_V4
10.1.16.8,49.09624,2.07774,Dome Camera,Dahua SD49425XB,Paris Sector 2,2026-01-10,8080,Airtel,FR,Europe,GLOBAL_500_V4
10.1.16.9,52.689815,13.781955,IP Camera,Dahua SD49425XB,Berlin Sector 3,2026-01-30,554,Verizon,DE,Europe,GLOBAL_500_V4
10.1.16.10,40.526441,-3.597451,Dome Camera,Axis P5655-E,Madrid Sector 4,2026-02-26,80,Airtel,ES,Europe,GLOBAL_500_V4
10.1.16.11,42.160381,12.335957,Dome Camera,Hanwha XNV-8080R,Rome Sector 5,2025-11-05,443,Comcast,IT,Europe,GLOBAL_500_V4
10.1.16.12,52.141394,20.970057,Bullet Camera,Axis P5655-E,Warsaw Sector 6,2025-10-24,80,AT&T,PL,Europe,GLOBAL_500_V4
10.1.16.13,29.742116,30.805763,IP Camera,Dahua SD49425XB,Cairo Sector 7,2025-10-31,8080,Airtel,EG,Africa,GLOBAL_500_V4
10.1.16.14,6.79414,3.039657,IP Camera,Hikvision DS-2CD2085G1,Lagos Sector 8,2025-06-13,80,Airtel,NG,Africa,GLOBAL_500_V4
10.1.16.15,-1.483269,36.412308,Bullet Camera,Axis P5655-E,Nairobi Sector 9,2025-03-25,554,BT,KE,Africa,GLOBAL_500_V4
10.1.16.16,-25.881715,28.437867,PTZ Camera,Sony SNC-EP580,Johannesburg Sector 10,2025-08-02,80,AT&T,ZA,Africa,GLOBAL_500_V4
10.1.16.17,33.60383,-7.437936,PTZ Camera,Dahua SD49425XB,Casablanca Sector 11,2026-01-08,80,Lumen,MA,Africa,GLOBAL_500_V4
10.1.16.18,5.574417,-0.520935,Bullet Camera,Hanwha XNV-8080R,Accra Sector 12,2026-02-08,554,BT,GH,Africa,GLOBAL_500_V4
10.1.17.19,24.917372,55.169621,Dome Camera,Hikvision DS-2CD2085G1,Dubai Sector 13,2025-12-30,443,Verizon,AE,Middle East,GLOBAL_500_V4
10.1.17.20,24.907988,46.934195,Bullet Camera,Hikvision DS-2CD2085G1,Riyadh Sector 14,2026-01-14,554,Cloudflare,SA,Middle East,GLOBAL_500_V4
10.1.17.21,32.276495,34.399092,IP Camera,Axis P5655-E,Tel Aviv Sector 15,2025-11-24,8080,DigitalOcean,IL,Middle East,GLOBAL_500_V4
10.1.17.22,24.865258,51.875329,PTZ Camera,Axis P5655-E,Doha Sector 16,2025-11-01,554,DigitalOcean,QA,Middle East,GLOBAL_500_V4
10.1.17.23,41.419806,29.080768,Bullet Camera,Bosch FLEXIDOME,Istanbul Sector 17,2025-09-26,554,BT,TR,Middle East,GLOBAL_500_V4
10.1.17.24,28.687105,77.310822,PTZ Camera,Bosch FLEXIDOME,Delhi Sector 18,2025-04-27,8080,Airtel,IN,Asia,GLOBAL_500_V4
10.1.17.25,19.087083,72.526239,IP Camera,Axis P5655-E,Mumbai Sector 19,2025-03-28,443,BT,IN,Asia,GLOBAL_500_V4
10.1.17.26,1.272252,103.490466,PTZ Camera,Bosch FLEXIDOME,Singapore Sector 20,2025-05-16,80,Lumen,SG,Asia,GLOBAL_500_V4
10.1.17.27,35.342682,139.76434,Bullet Camera,Sony SNC-EP580,Tokyo Sector 1,2026-01-03,554,Comcast,JP,Asia,GLOBAL_500_V4
10.1.17.28,37.61141,126.930063,PTZ Camera,Dahua SD49425XB,Seoul Sector 2,2026-03-06,554,Comcast,KR,Asia,GLOBAL_500_V4
10.1.17.29,13.39422,100.521128,Bullet Camera,Dahua SD49425XB,Bangkok Sector 3,2026-01-05,80,Cloudflare,TH,Asia,GLOBAL_500_V4
10.1.17.30,-5.783056,107.226347,Bullet Camera,Hanwha XNV-8080R,Jakarta Sector 4,2026-02-15,8080,BT,ID,Asia,GLOBAL_500_V4
10.1.17.31,-34.208221,150.869549,IP Camera,Bosch FLEXIDOME,Sydney Sector 5,2025-11-13,443,Comcast,AU,Oceania,GLOBAL_500_V4
10.1.17.32,-37.680839,145.236736,PTZ Camera,Hanwha XNV-8080R,Melbourne Sector 6,2025-12-08,80,Cloudflare,AU,Oceania,GLOBAL_500_V4
10.1.17.33,-37.037143,175.126113,PTZ Camera,Dahua SD49425XB,Auckland Sector 7,2025-10-19,554,Lumen,NZ,Oceania,GLOBAL_500_V4
10.1.17.34,-31.890072,116.151944,PTZ Camera,Axis P5655-E,Perth Sector 8,2025-03-31,554,Verizon,AU,Oceania,GLOBAL_500_V4
10.1.18.35,38.509498,-76.701839,Dome Camera,Axis P5655-E,Washington Sector 9,2025-05-16,80,Lumen,US,North America,GLOBAL_500_V4
10.1.18.36,40.485409,-73.962138,Bullet Camera,Bosch FLEXIDOME,New York Sector 10,2025-05-07,443,Cloudflare,US,North America,GLOBAL_500_V4
10.1.18.37,19.612722,-99.402987,Bullet Camera,Hikvision DS-2CD2085G1,Mexico City Sector 11,2026-01-13,443,Comcast,MX,North America,GLOBAL_500_V4
10.1.18.38,43.649105,-79.035653,IP Camera,Hikvision DS-2CD2085G1,Toronto Sector 12,2026-01-27,80,Comcast,CA,North America,GLOBAL_500_V4
10.1.18.39,4.638604,-73.8549,Dome Camera,Hanwha XNV-8080R,Bogota Sector 13,2026-03-12,443,Airtel,CO,South America,GLOBAL_500_V4
10.1.18.40,-11.682187,-76.796976,Dome Camera,Hanwha XNV-8080R,Lima Sector 14,2026-02-26,443,BT,PE,South America,GLOBAL_500_V4
10.1.18.41,-23.277002,-46.682894,IP Camera,Dahua SD49425XB,Sao Paulo Sector 15,2025-11-21,554,Airtel,BR,South America,GLOBAL_500_V4
10.1.18.42,-34.742037,-58.46241,IP Camera,Bosch FLEXIDOME,Buenos Aires Sector 16,2025-11-07,8080,AT&T,AR,South America,GLOBAL_500_V4
10.1.18.43,51.064875,-0.214122,IP Camera,Bosch FLEXIDOME,London Sector 17,2025-10-06,8080,BT,GB,Europe,GLOBAL_500_V4
10.1.18.44,48.804474,2.385015,Bullet Camera,Hanwha XNV-8080R,Paris Sector 18,2025-03-27,554,Cloudflare,FR,Europe,GLOBAL_500_V4
10.1.18.45,52.691603,13.742607,IP Camera,Hanwha XNV-8080R,Berlin Sector 19,2025-07-21,443,BT,DE,Europe,GLOBAL_500_V4
10.1.18.46,40.814446,-3.310156,Dome Camera,Hikvision DS-2CD2085G1,Madrid Sector 20,2025-03-31,80,Comcast,ES,Europe,GLOBAL_500_V4
10.1.18.47,41.51124,12.097925,PTZ Camera,Hanwha XNV-8080R,Rome Sector 1,2026-02-25,554,Airtel,IT,Europe,GLOBAL_500_V4
10.1.18.48,52.354109,21.364695,Bullet Camera,Hikvision DS-2CD2085G1,Warsaw Sector 2,2026-03-07,80,Verizon,PL,Europe,GLOBAL_500_V4
10.1.18.49,30.330296,31.034853,IP Camera,Hikvision DS-2CD2085G1,Cairo Sector 3,2026-02-15,443,DigitalOcean,EG,Africa,GLOBAL_500_V4
10.1.18.50,6.327179,3.111992,Dome Camera,Sony SNC-EP580,Lagos Sector 4,2026-01-29,554,Airtel,NG,Africa,GLOBAL_500_V4
10.1.19.51,-1.52481,36.618977,PTZ Camera,Sony SNC-EP580,Nairobi Sector 5,2025-11-01,554,BT,KE,Africa,GLOBAL_500_V4
10.1.19.52,-25.962855,27.836081,Bullet Camera,Hikvision DS-2CD2085G1,Johannesburg Sector 6,2025-10-18,554,DigitalOcean,ZA,Africa,GLOBAL_500_V4
10.1.19.53,33.162705,-7.607875,PTZ Camera,Axis P5655-E,Casablanca Sector 7,2025-10-30,80,Lumen,MA,Africa,GLOBAL_500_V4
10.1.19.54,5.477413,-0.164022,IP Camera,Axis P5655-E,Accra Sector 8,2025-04-25,8080,DigitalOcean,GH,Africa,GLOBAL_500_V4
10.1.19.55,25.392856,55.1424,Dome Camera,Dahua SD49425XB,Dubai Sector 9,2025-08-09,8080,DigitalOcean,AE,Middle East,GLOBAL_500_V4
10.1.19.56,24.778282,46.641467,Bullet Camera,Sony SNC-EP580,Riyadh Sector 10,2025-04-16,8080,DigitalOcean,SA,Middle East,GLOBAL_500_V4
10.1.19.57,32.014447,35.189621,Bullet Camera,Hikvision DS-2CD2085G1,Tel Aviv Sector 11,2026-02-17,443,DigitalOcean,IL,Middle East,GLOBAL_500_V4
10.1.19.58,24.925066,51.912869,Dome Camera,Hikvision DS-2CD2085G1,Doha Sector 12,2026-03-10,554,Airtel,QA,Middle East,GLOBAL_500_V4
10.1.19.59,41.049274,29.077694,Bullet Camera,Hanwha XNV-8080R,Istanbul Sector 13,2026-02-13,8080,Lumen,TR,Middle East,GLOBAL_500_V4
10.1.19.60,28.32867,77.281674,Bullet Camera,Dahua SD49425XB,Delhi Sector 14,2026-01-29,80,Cloudflare,IN,Asia,GLOBAL_500_V4
10.1.19.61,19.312667,72.543271,PTZ Camera,Bosch FLEXIDOME,Mumbai Sector 15,2025-12-03,80,Cloudflare,IN,Asia,GLOBAL_500_V4
10.1.19.62,1.273531,103.982221,Dome Camera,Hikvision DS-2CD2085G1,Singapore Sector 16,2025-11-04,8080,BT,SG,Asia,GLOBAL_500_V4
10.1.19.63,35.874508,139.996211,Dome Camera,Sony SNC-EP580,Tokyo Sector 17,2025-10-28,554,Comcast,JP,Asia,GLOBAL_500_V4
10.1.19.64,37.288993,126.885293,Bullet Camera,Hikvision DS-2CD2085G1,Seoul Sector 18,2025-08-12,554,AT&T,KR,Asia,GLOBAL_500_V4
10.1.19.65,13.550124,100.399771,Dome Camera,Sony SNC-EP580,Bangkok Sector 19,2025-06-19,80,Airtel,TH,Asia,GLOBAL_500_V4
10.1.19.66,-5.813638,106.463764,IP Camera,Hanwha XNV-8080R,Jakarta Sector 20,2025-03-30,8080,Cloudflare,ID,Asia,GLOBAL_500_V4
10.1.20.67,-33.628164,151.397186,Dome Camera,Dahua SD49425XB,Sydney Sector 1,2026-01-11,80,Verizon,AU,Oceania,GLOBAL_500_V4
10.1.20.68,-37.943165,145.018054,Bullet Camera,Dahua SD49425XB,Melbourne Sector 2,2026-01-28,80,Airtel,AU,Oceania,GLOBAL_500_V4
10.1.20.69,-36.867463,174.824794,Dome Camera,Hanwha XNV-8080R,Auckland Sector 3,2026-01-25,8080,Airtel,NZ,Oceania,GLOBAL_500_V4
10.1.20.70,-32.074157,116.009459,PTZ Camera,Hanwha XNV-8080R,Perth Sector 4,2026-02-13,8080,Cloudflare,AU,Oceania,GLOBAL_500_V4
10.1.20.71,38.899523,-76.657774,IP Camera,Bosch FLEXIDOME,Washington Sector 5,2025-12-01,554,Cloudflare,US,North America,GLOBAL_500_V4
10.1.20.72,40.832109,-73.582513,Bullet Camera,Hanwha XNV-8080R,New York Sector 6,2025-11-18,443,BT,US,North America,GLOBAL_500_V4
10.1.20.73,19.398633,-99.258431,Bullet Camera,Axis P5655-E,Mexico City Sector 7,2025-11-14,80,Comcast,MX,North America,GLOBAL_500_V4
10.1.20.74,43.973794,-79.256896,PTZ Camera,Bosch FLEXIDOME,Toronto Sector 8,2025-07-25,443,Cloudflare,CA,North America,GLOBAL_500_V4
10.1.20.75,5.011131,-74.498186,Bullet Camera,Axis P5655-E,Bogota Sector 9,2025-07-15,554,Comcast,CO,South America,GLOBAL_500_V4
10.1.20.76,-12.176429,-76.895801,IP Camera,Sony SNC-EP580,Lima Sector 10,2025-06-11,554,Cloudflare,PE,South America,GLOBAL_500_V4
10.1.20.77,-23.359444,-46.188794,IP Camera,Bosch FLEXIDOME,Sao Paulo Sector 11,2026-03-04,80,Verizon,BR,South America,GLOBAL_500_V4
10.1.20.78,-34.813842,-58.78772,IP Camera,Hikvision DS-2CD2085G1,Buenos Aires Sector 12,2026-01-26,554,Verizon,AR,South America,GLOBAL_500_V4
10.1.20.79,51.492432,-0.431111,IP Camera,Hikvision DS-2CD2085G1,London Sector 13,2026-01-09,554,Verizon,GB,Europe,GLOBAL_500_V4
10.1.20.80,49.014105,1.953992,IP Camera,Sony SNC-EP580,Paris Sector 14,2026-01-02,8080,Cloudflare,FR,Europe,GLOBAL_500_V4
10.1.20.81,52.072727,13.241209,PTZ Camera,Bosch FLEXIDOME,Berlin Sector 15,2025-12-07,443,AT&T,DE,Europe,GLOBAL_500_V4
10.1.20.82,40.079959,-3.375918,IP Camera,Hikvision DS-2CD2085G1,Madrid Sector 16,2025-10-05,80,Airtel,ES,Europe,GLOBAL_500_V4
10.1.21.83,42.041573,12.790999,IP Camera,Hanwha XNV-8080R,Rome Sector 17,2025-10-02,443,AT&T,IT,Europe,GLOBAL_500_V4
10.1.21.84,52.253544,20.642924,Bullet Camera,Bosch FLEXIDOME,Warsaw Sector 18,2025-09-04,80,AT&T,PL,Europe,GLOBAL_500_V4
10.1.21.85,29.665931,31.311079,IP Camera,Hikvision DS-2CD2085G1,Cairo Sector 19,2025-08-26,443,BT,EG,Africa,GLOBAL_500_V4
10.1.21.86,6.17276,3.497173,PTZ Camera,Bosch FLEXIDOME,Lagos Sector 20,2025-07-20,443,Comcast,NG,Africa,GLOBAL_500_V4
